conservation_practice,concern,value
Fence ,Sheet and Rill Erosion,1
Streambank and Shoreline Protection ,Sheet and Rill Erosion,0
Heavy Use Area Protection ,Sheet and Rill Erosion,2
Livestock Pipeline ,Sheet and Rill Erosion,0
Prescribed Grazing (IRA),Sheet and Rill Erosion,4
Cover Crop (IRA),Sheet and Rill Erosion,4
Tree/Shrub Establishment (IRA),Sheet and Rill Erosion,5
Brush Management ,Sheet and Rill Erosion,3
Dike and Levee ,Sheet and Rill Erosion,0
Herbaceous Weed Treatment ,Sheet and Rill Erosion,4
Residue and Tillage Mgmt (No Till) (IRA),Sheet and Rill Erosion,5
Residue and Tillage Mgmt (Reduced Till) (IRA),Sheet and Rill Erosion,4
Conservation Crop Rotation (IRA),Sheet and Rill Erosion,4
Wildlife Habitat Planting (IRA),Sheet and Rill Erosion,2
Pasture and Hay Planting ,Sheet and Rill Erosion,4
Critical Area Planting (IRA),Sheet and Rill Erosion,5
Range planting (IRA),Sheet and Rill Erosion,4
Channel Bed Stabilization ,Sheet and Rill Erosion,0
Conservation Cover (IRA),Sheet and Rill Erosion,4
Access Control ,Sheet and Rill Erosion,3
Wetland Restoration (IRA),Sheet and Rill Erosion,0
Watering Facility ,Sheet and Rill Erosion,2
Riparian Forest Buffer (IRA),Sheet and Rill Erosion,3
Nutrient Management (IRA),Sheet and Rill Erosion,0
Pest Management Conservation System ,Sheet and Rill Erosion,2
Structures for Wildlife ,Sheet and Rill Erosion,0
Stream Crossing ,Sheet and Rill Erosion,0
Structure for Water Control ,Sheet and Rill Erosion,0
Stream Habitat Improvement and Management ,Sheet and Rill Erosion,0
Grade Stabilization Structure ,Sheet and Rill Erosion,0
Riparian Herbaceous Cover (IRA),Sheet and Rill Erosion,2
Aquatic Organism Passage ,Sheet and Rill Erosion,0
Wetland Creation ,Sheet and Rill Erosion,0
Wetland Enhancement ,Sheet and Rill Erosion,0
Wetland Wildlife Habitat Management ,Sheet and Rill Erosion,0
Shallow Water Development and Management ,Sheet and Rill Erosion,0
Restoration of Rare and Declining Habitats,Sheet and Rill Erosion,2
Fence ,Wind Erosion,0
Streambank and Shoreline Protection ,Wind Erosion,0
Heavy Use Area Protection ,Wind Erosion,2
Livestock Pipeline ,Wind Erosion,0
Prescribed Grazing (IRA),Wind Erosion,4
Cover Crop (IRA),Wind Erosion,4
Tree/Shrub Establishment (IRA),Wind Erosion,5
Brush Management ,Wind Erosion,3
Dike and Levee ,Wind Erosion,0
Herbaceous Weed Treatment ,Wind Erosion,4
Residue and Tillage Mgmt (No Till) (IRA),Wind Erosion,5
Residue and Tillage Mgmt (Reduced Till) (IRA),Wind Erosion,4
Conservation Crop Rotation (IRA),Wind Erosion,4
Wildlife Habitat Planting (IRA),Wind Erosion,0
Pasture and Hay Planting ,Wind Erosion,4
Critical Area Planting (IRA),Wind Erosion,5
Range planting (IRA),Wind Erosion,4
Channel Bed Stabilization ,Wind Erosion,0
Conservation Cover (IRA),Wind Erosion,4
Access Control ,Wind Erosion,1
Wetland Restoration (IRA),Wind Erosion,0
Watering Facility ,Wind Erosion,2
Riparian Forest Buffer (IRA),Wind Erosion,2
Nutrient Management (IRA),Wind Erosion,0
Pest Management Conservation System ,Wind Erosion,2
Structures for Wildlife ,Wind Erosion,0
Stream Crossing ,Wind Erosion,0
Structure for Water Control ,Wind Erosion,0
Stream Habitat Improvement and Management ,Wind Erosion,0
Grade Stabilization Structure ,Wind Erosion,0
Riparian Herbaceous Cover (IRA),Wind Erosion,2
Aquatic Organism Passage ,Wind Erosion,0
Wetland Creation ,Wind Erosion,0
Wetland Enhancement ,Wind Erosion,0
Wetland Wildlife Habitat Management ,Wind Erosion,0
Shallow Water Development and Management ,Wind Erosion,0
Restoration of Rare and Declining Habitats,Wind Erosion,2
Fence ,Ephemeral Gully Erosion,0
Streambank and Shoreline Protection ,Ephemeral Gully Erosion,0
Heavy Use Area Protection ,Ephemeral Gully Erosion,2
